The Declaration of Independence of the United States of America	Dec 1, 1971,	Jefferson, Thomas, 1743-1826
Alice's Adventures in Wonderland	Jun 27, 2008,	Carroll, Lewis, 1832-1898
Through the Looking-Glass	Jun 25, 2008,	Carroll, Lewis, 1832-1898
Peter Pan	Jun 25, 2008,	Barrie, J. M. (James Matthew), 1860-1937
