point 1,point 2,point 3,point 4,point 5,point 6,point 7,point 8,point 9,point 10,point 11,point 12,point 13,point 14,point 15,point 16,point 17,point 18,point 19,point 20,bookname
5.425848024,5.378505609,5.350160256,5.354166667,5.339543269,5.294337607,5.333533654,5.364282853,5.397702991,5.392260951,5.409855769,5.410723825,5.419504541,5.409989316,5.456129808,5.478999733,5.461471688,5.430522169,5.418035524,0.691673344,English fairy tales by joseph jacobs   free ebook
5.594907407,5.455667789,5.408179012,5.459525814,5.464623083,5.435863262,5.429292929,5.390268425,5.412621586,5.390291807,5.311354284,5.362139918,5.394687617,5.460881968,5.584806397,5.563061167,5.460344183,5.439697905,5.427749719,0.149317247,"Lucy maud montgomery short stories, 1909 to 1922 by l. m. montgomery   free ebook"
5.387142857,5.39,5.393571429,5.388571429,5.382142857,5.386428571,5.382857143,5.370714286,5.351428571,5.340714286,5.331428571,5.333571429,5.328571429,5.325,5.337857143,5.342857143,5.336428571,5.327142857,5.325,1.331428571,The jolly corner by henry james   free ebook
5.495845652,5.530122832,5.563510012,5.516913042,5.43177177,5.432588619,5.418104788,5.395306166,5.38438843,5.421725746,5.472656893,5.465896553,5.356615563,5.232832455,5.16572282,5.198256576,5.216239446,5.164454875,5.163967204,0.274784358,A short history of the world by h. g. wells   free ebook
5.319328704,5.297858796,5.294733796,5.290625,5.267766204,5.272511574,5.262731481,5.25318287,5.261979167,5.26880787,5.251793981,5.239930556,5.245486111,5.265972222,5.297222222,5.340335648,5.368634259,5.37181713,5.372916667,1.907233796,The sign of the four by arthur conan doyle   free ebook
5.30137023,5.318236666,5.338320865,5.382243316,5.386721369,5.39589199,5.365001475,5.345721717,5.339715228,5.335076288,5.376263642,5.421285496,5.415681227,5.462097445,5.437401121,5.371705146,5.320837691,5.263990561,5.205561365,0.781969807,An enquiry concerning human understanding by david hume   free ebook
5.364295393,5.380047425,5.420054201,5.428929539,5.453794038,5.475237127,5.531707317,5.48204607,5.424288618,5.402269648,5.345562331,5.359756098,5.378252033,5.36846206,5.385331978,5.374762873,5.355182927,5.369783198,5.361111111,0.326490515,Three men on the bummel by jerome k. jerome   free ebook
5.385849767,5.430076773,5.485623965,5.446334487,5.386632546,5.362366401,5.344302273,5.387355111,5.400421496,5.418967334,5.425259672,5.399578504,5.412343821,5.382869186,5.344121632,5.315941593,5.285714286,5.270660846,5.259822369,0.753635406,The legends of king arthur and his knights by knowles and malory   free ebook
5.371246246,5.36986987,5.372497497,5.401463964,5.436373874,5.471784284,5.50513013,5.534159159,5.549111612,5.563688689,5.594907407,5.606544044,5.625563063,5.612737738,5.566191191,5.51732983,5.52271021,5.511636637,5.511198699,1.039727227,A defence of poetry and other essays by percy bysshe shelley   free ebook
5.344504831,5.354770531,5.34571256,5.334692029,5.323822464,5.306310386,5.289100242,5.283816425,5.274305556,5.267512077,5.265096618,5.268870773,5.271437198,5.257095411,5.245169082,5.244414251,5.249698068,5.261624396,5.265096618,4.695199275,Common sense by thomas paine   free ebook
5.356862745,5.279901961,5.241115196,5.263051471,5.310447304,5.336182598,5.370251225,5.341973039,5.339522059,5.365686275,5.426531863,5.468841912,5.402052696,5.320557598,5.229656863,5.190992647,5.183088235,5.190257353,5.27221201,0.051685049,Tales of space and time by h. g. wells   free ebook
5.338568738,5.291563089,5.267344633,5.258644068,5.291487759,5.296836158,5.316836158,5.356723164,5.354839925,5.344218456,5.371035782,5.357137476,5.31905838,5.309114878,5.283841808,5.28094162,5.282937853,5.310960452,5.298380414,5.303804143,My man jeeves by p. g. wodehouse   free ebook
5.340523194,5.339974815,5.378605086,5.396945325,5.368612397,5.362052157,5.32539199,5.325635714,5.354659192,5.391461532,5.348342676,5.341619953,5.38540905,5.337436022,5.301242993,5.293017304,5.35037371,5.372735397,5.347184987,0.201498903,Greenmantle by john buchan   free ebook
5.552725198,5.536078668,5.524567056,5.499395892,5.437877567,5.364746946,5.328970332,5.283695798,5.308027923,5.330178547,5.375822258,5.424755001,5.429386495,5.423076923,5.47707746,5.462713116,5.396227682,5.357094912,5.338099074,0.204859713,"Joseph andrews, vol. 1 by henry fielding   free ebook"
5.371644501,5.355057172,5.36040634,5.35652942,5.357461844,5.339647642,5.352407126,5.363890661,5.354959022,5.382440987,5.401089464,5.421504638,5.430190902,5.419590715,5.398194042,5.386317907,5.392059675,5.399077391,5.392844874,5.40393581,The way of the world by william congreve   free ebook
5.376576577,5.370843571,5.4004095,5.40958231,5.399099099,5.378665029,5.398280098,5.425389025,5.404095004,5.3997543,5.389434889,5.401228501,5.397092547,5.397788698,5.388902539,5.411711712,5.435708436,5.431326781,5.484029484,0.091932842,The marvelous land of oz by l. frank baum   free ebook
5.579340809,5.554706082,5.568212708,5.593909276,5.554578661,5.514993204,5.53788651,5.55606524,5.575815494,5.618926266,5.65269283,5.635575943,5.611111111,5.618034319,5.62372579,5.545361876,5.481778797,5.427454978,5.353041115,1.032832144,My first summer in the sierra by john muir   free ebook
5.440590509,5.470422067,5.461260954,5.460250826,5.444093159,5.427524444,5.38960312,5.391308531,5.439191198,5.489824386,5.491201833,5.472682829,5.497144531,5.487406202,5.443913872,5.446590054,5.440774169,5.389677459,5.396612793,0.268628326,Poems by christina georgina rossetti   free ebook
5.272538546,5.261401726,5.261358476,5.298726294,5.395411197,5.39683844,5.352226283,5.326838657,5.326276409,5.368812577,5.396795191,5.409856627,5.318880695,5.241809571,5.240014705,5.272041174,5.312436477,5.245485803,5.271284302,0.681703177,The secret agent: a simple tale by joseph conrad   free ebook
5.296545635,5.28815804,5.275319133,5.265827907,5.262517014,5.245778612,5.246882243,5.241952691,5.219696134,5.217047419,5.206636501,5.190597064,5.171945701,5.153993305,5.139572527,5.145826436,5.146304676,5.14575286,5.16157157,0.378471839,Daemonologie. by king of england james i   free ebook
5.362337916,5.317937344,5.383843554,5.357910045,5.398240226,5.455696922,5.467079393,5.417690358,5.387645835,5.405267947,5.371169283,5.376044002,5.405893536,5.351434792,5.330034773,5.361330473,5.427163563,5.353417179,5.220849176,0.13991258,Russian fairy tales: a choice collection of muscovite folk lore by ralston   free ebook
5.479671976,5.410088252,5.289895555,5.245092936,5.300519333,5.354546191,5.322021352,5.304683253,5.301467782,5.361856183,5.323345709,5.345732561,5.256717212,5.211284222,5.190597638,5.33645049,5.349786599,5.32314908,5.321633876,0.181408099,Cookery and dining in imperial rome by apicius   free ebook
5.473834218,5.372772359,5.344486974,5.273274478,5.320749475,5.317971354,5.377042433,5.420473721,5.445096102,5.399761287,5.440208668,5.402601144,5.406490513,5.470099189,5.445003498,5.423025476,5.337459357,5.358110055,5.364273367,0.019920155,Democracy in america ‰ÛÓ volume 1 by alexis de tocqueville   free ebook
5.345500459,5.353477961,5.35835629,5.360881543,5.348542241,5.352157943,5.343319559,5.33844123,5.370523416,5.374655647,5.344869146,5.338785583,5.343147383,5.348714417,5.322887971,5.322141873,5.309573003,5.298898072,5.342114325,0.121958219,A sentimental journey through france and italy by laurence sterne   free ebook
5.418342664,5.450825904,5.517105536,5.494781948,5.489736678,5.48386205,5.501485935,5.519109821,5.517243763,5.486764808,5.493192342,5.486695694,5.482825351,5.514341005,5.519870067,5.526021149,5.517658442,5.49650978,5.509986868,2.264772963,Siddhartha by hermann hesse   free ebook
5.243507092,5.284797691,5.363572174,5.426352306,5.430865107,5.454626389,5.427703076,5.377878062,5.356542027,5.322435071,5.345551667,5.351016148,5.388868423,5.384938908,5.364493154,5.365813225,5.328636336,5.327715356,5.378307853,1.032510591,The souls of black folk by w. e. b. du bois   free ebook
5.337855297,5.338501292,5.344638243,5.351098191,5.35626615,5.355297158,5.359496124,5.367894057,5.362080103,5.358204134,5.356912145,5.362726098,5.368863049,5.36627907,5.355943152,5.353682171,5.361757106,5.370155039,5.371124031,2.688307494,The communist manifesto by friedrich engels and karl marx   free ebook
5.341412165,5.368895016,5.352174058,5.336631572,5.32999433,5.329371741,5.341745695,5.371774489,5.382969971,5.352285235,5.317742671,5.317864965,5.339277575,5.324691207,5.27957575,5.288736701,5.355075767,5.387561564,5.352896706,0.341990283,The riddle of the sands by erskine childers   free ebook
5.488647266,5.4982811,5.445774704,5.408178766,5.422869364,5.458866326,5.446654141,5.418332267,5.408278702,5.419871282,5.432583147,5.424488327,5.370982571,5.368763991,5.436040934,5.476914775,5.506755676,5.546470259,5.515829869,0.185921011,Mark twain's speeches by mark twain   free ebook
5.509397206,5.528718563,5.424207585,5.387305389,5.452263473,5.450618762,5.444838323,5.458778443,5.442730539,5.389620758,5.337053892,5.329421158,5.349221557,5.323289421,5.313245509,5.389860279,5.423552894,5.486914172,5.525093812,0.366291417,The fortunes and misfortunes of the famous moll flanders by daniel defoe   free ebook
5.383789174,5.354358974,5.362222222,5.377321937,5.333960114,5.362051282,5.394074074,5.395726496,5.422450142,5.411880342,5.414900285,5.376980057,5.335270655,5.352051282,5.320541311,5.258319088,5.243019943,5.303076923,5.29957265,0.637948718,Letters of abelard and heloise by peter abelard and hÌ©loÌøse   free ebook
5.414555603,5.406826964,5.404036067,5.40468012,5.392872477,5.36625161,5.365607557,5.356161443,5.386646629,5.381708888,5.383855732,5.404894805,5.401674538,5.414770288,5.415629025,5.408115071,5.410261915,5.397595535,5.407471018,0.317732933,Plunkitt of tammany hall: a series of very plain talks on very practical   free ebook
5.317786302,5.302769461,5.276197605,5.229462949,5.204247754,5.18488024,5.172483159,5.153162425,5.18034244,5.1875,5.227732036,5.258420659,5.292243638,5.336405314,5.372894835,5.385151572,5.412378368,5.369245883,5.324569611,5.299307635,Stories by english authors: africa (selected by scribners) by percy addleshaw et al.   free ebook
5.48844376,5.530200308,5.523934258,5.546276323,5.552336929,5.525680534,5.463071392,5.493528505,5.505084746,5.496302003,5.448690293,5.411710324,5.402311248,5.372265023,5.311402157,5.345146379,5.35577812,5.373343606,5.347868516,5.369029276,Mathilda by mary wollstonecraft shelley   free ebook
5.391842105,5.362017544,5.35745614,5.347807018,5.344298246,5.331140351,5.342894737,5.333947368,5.329473684,5.314736842,5.277017544,5.271403509,5.271315789,5.301929825,5.319824561,5.295614035,5.291403509,5.297807018,5.285789474,0.175701754,Alice's adventures in wonderland by lewis carroll   free ebook
5.320756356,5.308710257,5.296027104,5.290930677,5.271963862,5.294463427,5.317918573,5.317078821,5.321972549,5.317194649,5.321045926,5.325447385,5.343835061,5.338825505,5.281896102,5.242311924,5.209735333,5.189494411,5.197428621,1.425985985,Arms and the man by bernard shaw   free ebook
5.391523048,5.378906572,5.443049158,5.460000707,5.452284748,5.42871279,5.425685307,5.446689206,5.492490193,5.525957427,5.485339679,5.452013806,5.411890822,5.451742864,5.436876392,5.431174828,5.380320183,5.303843843,5.27705592,0.470002003,The zen experience by thomas hoover   free ebook
5.297286445,5.303689928,5.36311763,5.326725559,5.264085549,5.290608225,5.327148231,5.372796822,5.348218437,5.311741832,5.327676571,5.321547825,5.323576652,5.331586289,5.290967497,5.297265311,5.296884906,5.291073165,5.304323936,0.724354368,The adventures of sally by p. g. wodehouse   free ebook
5.50256914,5.389923681,5.445167277,5.494490989,5.417107451,5.367882915,5.435976934,5.392185847,5.517596721,5.488441231,5.519195349,5.392004024,5.269440929,5.368395326,5.400275805,5.442576885,5.350059506,5.379970625,5.428111304,0.125694235,Kalevala : the epic poem of finland ‰ÛÓ complete by lÌ_nnrot and crawford   free ebook
5.450455389,5.414688396,5.303666301,5.2979634,5.272969725,5.343913392,5.377603727,5.346727947,5.342595716,5.302411874,5.3111507,5.327057683,5.270777112,5.276311351,5.350775848,5.271609884,5.267604149,5.315925957,5.30762987,0.414825434,Pascal's pensÌ©es by blaise pascal   free ebook
5.33069817,5.361076568,5.370847397,5.388168414,5.398649849,5.409753064,5.421922189,5.415704388,5.411973708,5.380262924,5.375199858,5.383105347,5.376709895,5.392965003,5.400781666,5.399715758,5.385858945,5.365961983,5.345354415,2.682003908,"She stoops to conquer; or, the mistakes of a night: a comedy by oliver goldsmith   free ebook"
5.389823644,5.360682596,5.365413645,5.375299142,5.350410515,5.354129082,5.326755274,5.282776776,5.28874121,5.355638599,5.368359044,5.335076028,5.322245131,5.332222672,5.319888811,5.363094142,5.409576231,5.389713192,5.41649792,0.345403336,The mabinogion by lady charlotte schreiber   free ebook
5.356109278,5.289865139,5.219468079,5.197705041,5.278289055,5.321149505,5.349525381,5.320715402,5.300442785,5.31625861,5.295407189,5.265048909,5.280010997,5.326908607,5.317387278,5.224691787,5.176144585,5.184435955,5.281385657,0.237888522,Riders of the purple sage by zane grey   free ebook
5.211056929,5.160996943,5.148631913,5.145206858,5.148419056,5.159061883,5.186268818,5.173555478,5.1986919,5.218835868,5.227137273,5.223383258,5.209741089,5.19902086,5.176264561,5.159874608,5.123921204,5.119973683,5.112872015,0.25244785,Mcguffey's eclectic spelling book by alexander h. mcguffey   free ebook
5.355483758,5.294324846,5.250795435,5.319845478,5.277822651,5.263585601,5.272797191,5.266528534,5.359546971,5.351174715,5.300375768,5.310525022,5.311975417,5.320860404,5.228368745,5.187964881,5.248962248,5.360136962,5.324695347,0.036920105,A harmony of the gospels for students of the life of christ by john albert broadus et al.   free ebook
5.440734305,5.454785828,5.447080154,5.44390723,5.439676664,5.424114225,5.421772305,5.404850042,5.405832137,5.389589786,5.391402886,5.376746997,5.359824734,5.351590239,5.354687618,5.370476694,5.391780615,5.398277555,5.388003324,0.173830928,The time machine by h. g. wells   free ebook
5.434001011,5.40019588,5.392202704,5.37248831,5.357291798,5.341400227,5.336819158,5.370908631,5.44246809,5.454126122,5.453083533,5.47352458,5.457253886,5.439498294,5.455200303,5.452862378,5.406325035,5.396846961,5.39675218,0.197996967,"The garden party, and other stories by katherine mansfield   free ebook"
5.344339859,5.383948293,5.428790161,5.418611948,5.395105422,5.373268072,5.344866968,5.339031124,5.373569277,5.376782129,5.298393574,5.193662149,5.216177209,5.298895582,5.374297189,5.393536647,5.377371988,5.267670683,5.184952309,0.161395582,Plain facts for old and young by john harvey kellogg   free ebook
5.262392542,5.306380485,5.284916825,5.235835101,5.226443005,5.196089651,5.243287373,5.283981802,5.30195657,5.311027688,5.370352797,5.389304455,5.365259015,5.329574634,5.336524506,5.365928882,5.304901195,5.288684828,5.319024227,0.094855979,The leavenworth case by anna katharine green   free ebook
5.536361395,5.485418464,5.457451005,5.478158511,5.445581166,5.358868483,5.384407741,5.431813139,5.414815728,5.425662517,5.48969555,5.532293849,5.521977074,5.507592752,5.518673734,5.522581043,5.475077037,5.359336867,5.335979292,0.452742512,The odyssey of homer by homer   free ebook
5.447481663,5.446797066,5.487359413,5.474474328,5.480195599,5.406210269,5.357066015,5.389095355,5.35591687,5.382836186,5.406259169,5.364645477,5.377530562,5.437823961,5.422738386,5.433838631,5.412933985,5.396234719,5.410831296,0.65190709,Cabbages and kings by o. henry   free ebook
5.42617666,5.418762089,5.443015259,5.464238126,5.43463357,5.39281109,5.407607995,5.450472813,5.429271438,5.381044487,5.31108962,5.289877498,5.310928433,5.389415431,5.461960026,5.421706426,5.377347948,5.396099291,5.3821513,0.380636149,The magnificent ambersons by booth tarkington   free ebook
5.469978961,5.456756757,5.46921832,5.458488429,5.384754815,5.431898365,5.451205697,5.406683929,5.472341803,5.534552517,5.477488267,5.458358958,5.534406862,5.510212008,5.452306198,5.37708367,5.410907914,5.530199061,5.561077844,0.296714679,The fortunate mistress (parts 1 and 2) by daniel defoe   free ebook
5.36096265,5.386122832,5.432786373,5.436193155,5.39456165,5.404469448,5.448632599,5.419002969,5.347991874,5.369323332,5.422472261,5.40342241,5.369276449,5.389826535,5.411032974,5.395030474,5.400718862,5.389764026,5.386529145,0.033130177,Lord of the world by robert hugh benson   free ebook
5.293429296,5.338114224,5.321493295,5.298788381,5.312561487,5.323331435,5.264329726,5.304898255,5.288924559,5.275669238,5.288898669,5.351602548,5.374281572,5.398954072,5.382617926,5.344715994,5.282219231,5.248123026,5.25311966,1.064386683,Pollyanna by eleanor h. porter   free ebook
5.543103161,5.506357841,5.507525949,5.562527117,5.603010379,5.601642025,5.569402263,5.515502453,5.464639722,5.440509962,5.520108133,5.527650769,5.540099456,5.508026566,5.475319561,5.453626139,5.409538431,5.40299703,5.42876214,1.248840236,Eight cousins by louisa may alcott   free ebook
5.443511905,5.47764881,5.505505952,5.532559524,5.531785714,5.540029762,5.547738095,5.520446429,5.556011905,5.522529762,5.518482143,5.527410714,5.506934524,5.477470238,5.471130952,5.459553571,5.525,5.516815476,5.598720238,0.583095238,Rebecca of sunnybrook farm by kate douglas smith wiggin   free ebook
5.206801471,5.22761211,5.261142883,5.267066086,5.276824619,5.331937636,5.294787128,5.271219136,5.284211601,5.262561275,5.23769971,5.244235657,5.254924655,5.261052106,5.247163217,5.214937364,5.21257716,5.227782317,5.191675744,0.279082698,The beetle: a mystery by richard marsh   free ebook
5.502171111,5.56819291,5.522549523,5.651189418,5.608355336,5.512594947,5.501476606,5.541826737,5.354548071,5.352577178,5.426288589,5.429679777,5.353353021,5.302503973,5.256691652,5.259382078,5.226658992,5.306864966,5.411904196,0.244991428,Boy scouts handbook by boy scouts of america   free ebook
5.341409454,5.329565077,5.328243039,5.334907188,5.350852579,5.362454133,5.347695877,5.364720483,5.399714008,5.390729549,5.401251889,5.452217785,5.471616663,5.449222966,5.427206993,5.441425642,5.436299374,5.387410965,5.373543061,0.848019642,The wind in the willows by kenneth grahame   free ebook
5.495299381,5.453465711,5.510406325,5.50853098,5.474266103,5.505221548,5.472911687,5.396396396,5.495893853,5.532885947,5.508751609,5.480327266,5.442360728,5.530532573,5.56462585,5.473996445,5.501476987,5.5717779,5.578421278,0.218109947,Autobiography of a yogi by paramahansa yogananda   free ebook
5.501079196,5.486634567,5.502075378,5.445293043,5.39160994,5.436161381,5.463943771,5.428413305,5.479882672,5.604903426,5.637777409,5.599811832,5.614699209,5.611544634,5.594443522,5.569760363,5.589351929,5.587082849,5.608058,0.692678067,Hans andersen's fairy tales. first series by h. c. andersen   free ebook
5.34978022,5.283333333,5.235054945,5.254908425,5.252600733,5.338168498,5.371684982,5.396849817,5.451501832,5.446959707,5.523223443,5.510989011,5.508424908,5.478864469,5.435347985,5.410952381,5.343369963,5.311611722,5.246043956,0.684725275,The narrative of arthur gordon pym of nantucket by edgar allan poe   free ebook
5.359491739,5.319451752,5.304061875,5.301141745,5.311822582,5.339655898,5.390218878,5.403767231,5.427417658,5.418578344,5.391902557,5.365937073,5.376170683,5.367147217,5.398374198,5.393980848,5.373145323,5.355650847,5.359465432,1.118909818,The robbers by friedrich schiller   free ebook
5.551889535,5.568241279,5.526235465,5.468677326,5.510973837,5.509992733,5.532957849,5.560792151,5.573328488,5.483030523,5.435646802,5.453561047,5.420130814,5.397202035,5.41537064,5.379832849,5.367696221,5.396257267,5.335210756,0.464425872,L. annaeus seneca on benefits by lucius annaeus seneca   free ebook
